# Representation aSLATM_G aSLATM_L "" SPA^HM(a)_G SPA^HM(a)_L "" SPA^HM(b)_G SPA^HM(b)_L
 S 5.172278308478370334 3.735028838516718963 0.0 4.114383003754224610 3.592275515357081339 0.0 3.748499532153890534 2.603632023709578469
 N 1.636762113664032459 1.453420221208626462 0.0 0.998548323543270278 0.860236934295187217 0.0 0.839067117086619740 0.800622142104293721
 O 1.153106524881076567 1.136280075509576548 0.0 0.882081534133024370 0.846648934878623693 0.0 0.809092807268303460 0.754816569684007677
 C 1.364578981562782456 1.114835897219530914 0.0 0.551175618617594898 0.578613149079670430 0.0 0.479978386328536621 0.509378089949758195
 H 
